name,errors,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all
exam2014/AAl_10_2.txt,1,4.454545454545454,7,0,6,8,11,331,9.909090909090908,30.09090909090909,31,21,10,12,20,2,4,25.4,33.4,24.67186507936508,32.74916666666667
exam2014/AAl_11_2.txt,1,4.190476190476191,8,1,7,7,21,359,5.428571428571429,17.095238095238095,38,26,12,14,28,1,0,14.75,19.15,17.307689827802058,21.81813804917133
exam2014/AAl_20_2.txt,1,4.076923076923077,11,0,2,10,13,268,7.076923076923077,20.615384615384617,30,17,13,3,11,2,0,20.75,26.166666666666668,20.775892857142857,25.536366642616642
exam2014/AAl_23_2.txt,1,4.0,7,0,3,3,13,279,6.461538461538462,21.46153846153846,27,20,7,7,23,0,2,18.083333333333332,23.5,17.52136544011544,22.973088023088025
exam2014/AAl_26_2.txt,1,5.647058823529412,8,2,8,8,17,406,4.588235294117647,23.88235294117647,38,24,14,8,32,2,3,18.875,26.0,19.205464760933513,25.8033956494894
exam2014/AAl_36_2.txt,1,4.444444444444445,9,1,2,3,18,307,4.277777777777778,17.055555555555557,26,19,7,13,16,1,1,14.882352941176471,19.764705882352942,17.410454189217166,21.971341826186116
exam2014/AAl_5_2.txt,1,4.461538461538462,7,0,8,2,13,258,5.461538461538462,19.846153846153847,24,20,4,5,9,1,4,17.416666666666668,22.583333333333332,17.346539802789803,22.77965367965368
exam2014/AAl_6_2.txt,1,3.5217391304347827,5,2,2,2,23,336,4.260869565217392,14.608695652173912,32,26,6,9,13,0,3,11.681818181818182,15.636363636363637,11.229814641334835,15.259758277927784
exam2014/ADe_12_2.txt,1,3.8947368421052633,7,2,2,6,19,318,5.894736842105263,16.736842105263158,31,24,7,1,20,0,3,14.055555555555555,18.555555555555557,14.110838897848701,17.831854760163584
exam2014/ADe_13_2.txt,1,5.071428571428571,9,0,6,8,14,370,9.785714285714286,26.428571428571427,31,21,10,4,32,2,6,22.615384615384617,28.076923076923077,23.21004230811923,30.06883138229292
exam2014/ADe_17_2.txt,1,4.6923076923076925,7,3,6,6,13,287,5.461538461538462,22.076923076923077,25,16,9,4,26,1,2,17.833333333333332,23.083333333333332,20.50881132756133,26.333122895622896
exam2014/ADe_18_2.txt,1,3.3333333333333335,7,1,2,8,21,280,3.5714285714285716,13.333333333333334,29,20,9,4,19,0,2,12.1,15.35,11.624702433574338,15.65267363441512
exam2014/ADe_21_2.txt,1,4.583333333333333,8,3,4,6,12,276,5.25,23,24,15,9,2,26,3,5,17.363636363636363,21.636363636363637,25.88891512527876,31.480637544273907
exam2014/ADe_2_2.txt,1,5.0,9,1,7,6,15,349,5.666666666666667,23.266666666666666,30,23,7,6,30,4,5,23.571428571428573,29.642857142857142,25.162580673294958,31.669071008356724
exam2014/ADe_8_2.txt,1,4.4,6,2,2,2,15,307,7.4,20.466666666666665,26,21,5,6,27,0,2,15.357142857142858,20.928571428571427,15.982215403643975,21.565040515040515
exam2014/AEr_2_2.txt,1,2.869565217391304,8,0,5,6,23,291,4.130434782608695,12.652173913043478,31,26,5,9,16,1,7,10.454545454545455,13.636363636363637,12.480001395194542,15.786285223595243
exam2014/AEr_5_2.txt,1,3.4,8,0,1,5,10,276,6.8,27.6,31,21,10,10,8,1,3,23.333333333333332,29.666666666666668,22.61596119929453,29.32874779541446
exam2014/AMe_12_2.txt,1,4.090909090909091,6,2,3,4,11,215,4.545454545454546,19.545454545454547,20,15,5,5,14,1,4,15.0,20.2,16.03595238095238,21.01345238095238
exam2014/ASt_35_2.txt,1,5.176470588235294,9,0,2,10,17,410,4.647058823529412,24.11764705882353,47,24,23,3,11,2,3,19.0625,25.0625,18.549840437340436,24.4816120511433
exam2014/DAr_12_2.txt,1,4.3125,8,2,4,13,16,290,4,18.125,23,17,6,7,15,3,2,15.8,20.733333333333334,14.032280127280128,18.85380434380434
exam2014/DAr_13_2.txt,1,4.85,9,2,10,11,20,428,3.35,21.4,37,24,13,11,34,2,6,18.31578947368421,23.94736842105263,17.156464176563574,22.86915204316622
exam2014/DAr_1_2.txt,1,4.285714285714286,8,2,3,6,14,288,4.785714285714286,20.571428571428573,26,17,9,6,27,2,0,15.384615384615385,21.46153846153846,17.40795315795316,24.008988020526484
exam2014/DAr_28_2.txt,1,4.388888888888889,8,2,7,4,18,329,4.333333333333333,18.27777777777778,31,24,7,6,28,1,2,15.411764705882353,20.352941176470587,14.725002424526647,19.45086683789106
exam2014/DAr_32_2.txt,1,4.933333333333334,10,1,8,5,15,354,5.266666666666667,23.6,31,22,9,15,22,2,5,22.357142857142858,28.071428571428573,21.3879329004329,26.791214341214342
exam2014/DAr_7_2(full).txt,1,4.5625,7,2,7,1,16,304,5.3125,19,24,21,3,12,20,1,5,16.2,21.266666666666666,16.15474617974618,21.28476356976357
exam2014/DZu_18_2.txt,1,4.857142857142857,9,2,2,6,14,286,5.714285714285714,20.428571428571427,37,21,16,4,13,2,2,15.846153846153847,21.692307692307693,16.2352830929754,21.872848732464117
exam2014/DZu_19_2.txt,1,4.333333333333333,7,0,5,6,12,311,6.416666666666667,25.916666666666668,33,24,9,10,14,3,1,22.727272727272727,29.545454545454547,23.291994621540077,30.127105470287287
exam2014/DZu_25_2.txt,1,5.3076923076923075,9,3,1,8,13,280,4.076923076923077,21.53846153846154,35,16,19,6,10,3,2,16.083333333333332,22.166666666666668,18.932479557479557,25.502732683982686
exam2014/DZu_26_2.txt,1,5.846153846153846,9,3,7,4,13,350,6.615384615384615,26.923076923076923,31,21,10,14,19,2,4,21.166666666666668,28.666666666666668,21.241651635401634,28.40729316979317
exam2014/DZu_37_2.txt,1,4.2,7,2,0,6,15,283,5.8,18.866666666666667,29,21,8,9,16,0,3,14.571428571428571,20.285714285714285,14.9701677290963,19.602571238285524
exam2014/EEm_12_2.txt,1,5.3076923076923075,9,3,7,8,13,301,8.076923076923077,23.153846153846153,29,19,10,9,17,0,7,20.083333333333332,27.166666666666668,20.413690476190474,27.637929894179894
exam2014/EEm_13_2.txt,1,3.933333333333333,7,0,1,9,15,270,5.133333333333334,18,29,20,9,5,11,0,1,14.428571428571429,18.642857142857142,16.042137822494965,20.797964931893503
exam2014/EEm_15_2.txt,1,5.583333333333333,8,4,4,12,12,340,7.5,28.333333333333332,28,15,13,11,15,1,5,22.818181818181817,29.636363636363637,22.077990948445493,29.293483536665356
exam2014/EEm_16_2.txt,1,4.235294117647059,9,0,4,5,17,349,7,20.529411764705884,30,23,7,15,25,5,2,16.8125,21.3125,15.876886308136308,20.829928231490733
exam2014/EEm_17_2.txt,1,5.363636363636363,7,3,6,7,11,246,7,22.363636363636363,25,16,9,4,18,2,3,16.6,21.5,19.01170634920635,24.958373015873015
exam2014/EEm_21_2.txt,1,4.923076923076923,10,3,4,4,13,276,6.384615384615385,21.23076923076923,26,18,8,8,22,0,1,17.75,22.0,20.253093434343434,25.450012025012025
exam2014/EEm_22_2.txt,1,5.0,8,3,2,2,7,121,4.714285714285714,17.285714285714285,13,9,4,3,9,1,2,12.333333333333334,17.333333333333332,11.697222222222223,16.45
exam2014/EEm_3_2.txt,1,4.388888888888889,7,2,5,5,18,278,4.611111111111111,15.444444444444445,33,20,13,11,15,1,6,13.941176470588236,17.11764705882353,12.88696168306895,16.272863108633004
