name,errors,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all
exam2016/OR_80_1.txt,1,5.285714285714286,9,0,3,3,7,192,5.285714285714286,27.428571428571427,13,8,5,3,9,0,1,18.5,25.833333333333332,20.00277777777778,26.975
exam2016/OR_82_1.txt,1,4.583333333333333,8,2,5,3,12,217,4.666666666666667,18.083333333333332,18,15,3,7,12,2,2,17.545454545454547,21.363636363636363,20.013701954611044,23.838360881542698
exam2016/OR_8_1.txt,1,4.1,6,3,4,3,10,158,7.1,15.8,12,8,4,1,9,5,0,12.666666666666666,16.555555555555557,13.52742504409171,17.308068783068784
exam2016/OR_92_1.txt,1,4.6,9,1,3,3,10,251,5.3,25.1,17,11,6,2,7,0,1,21.77777777777778,27.77777777777778,24.709082892416227,30.11490299823633
exam2016/OR_98_1.txt,1,5.777777777777778,9,3,4,1,9,220,6.222222222222222,24.444444444444443,17,12,5,3,16,2,3,19.5,25.0,19.74345238095238,25.85327380952381
exam2016/ZEv_11_1.txt,1,4.333333333333333,7,0,7,2,12,264,6.583333333333333,22,18,15,3,6,10,7,0,15.727272727272727,20.90909090909091,16.43003738685557,21.770677554768465
exam2016/ZEv_12_1.txt,1,5.125,9,2,4,0,8,185,6.25,23.125,13,13,0,4,14,2,2,18.0,25.0,23.686394557823128,31.36768707482993
exam2016/ZEv_17_1.txt,1,4.0,7,2,2,2,10,215,6.5,21.5,15,13,2,5,12,2,1,20.666666666666668,25.666666666666668,18.10595238095238,23.437874779541445
exam2016/ZEv_21_1.txt,1,4.555555555555555,9,3,0,4,9,180,4.333333333333333,20,15,11,4,3,11,0,1,17.0,22.25,17.523660714285715,22.696279761904762
exam2016/ZEv_28_1.txt,1,4.545454545454546,8,0,2,5,11,267,8.363636363636363,24.272727272727273,24,14,10,7,17,1,2,20.7,27.0,19.60829365079365,25.49845238095238
exam2016/ZEv_2_1.txt,1,5.8,8,4,4,1,5,167,6.6,33.4,10,7,3,5,8,1,0,28.5,36.5,26.895833333333332,35.270833333333336
exam2016/ZEv_35_1.txt,1,5.375,8,4,3,1,8,200,4.25,25,17,14,3,3,12,4,0,20.428571428571427,27.0,21.622108843537415,27.314625850340136
exam2016/ZEv_36_1.txt,1,5.666666666666667,9,4,3,6,9,222,8.777777777777779,24.666666666666668,15,6,9,1,12,2,1,19.375,25.0,19.651488095238093,25.965625
exam2016/ZEv_38_1.txt,1,4.444444444444445,7,3,1,2,9,182,4.111111111111111,20.22222222222222,16,14,2,2,8,0,2,16.25,20.5,16.343005952380953,20.808035714285715
exam2016/ZEv_45_1.txt,1,5.142857142857143,7,4,5,2,7,177,9.428571428571429,25.285714285714285,7,6,1,3,6,5,1,17.333333333333332,22.333333333333332,17.441666666666666,22.9
exam2016/ZEv_47_1.txt,1,4.0,7,2,0,0,7,151,7.285714285714286,21.571428571428573,9,7,2,3,9,1,2,18.5,24.166666666666668,17.21666666666667,22.725
exam2016/ZEv_48_1.txt,1,5.0,11,3,5,1,10,216,5.3,21.6,16,15,1,4,10,1,1,18.666666666666668,23.444444444444443,17.54003527336861,22.482760141093475
exam2016/ZEv_50_1.txt,1,4.555555555555555,9,3,0,1,9,177,7.111111111111111,19.666666666666668,12,11,1,3,10,1,0,15.375,19.25,14.524255952380953,19.404613095238094
exam2016/ZEv_51_1.txt,1,5.0,7,2,1,0,7,201,4.857142857142857,28.714285714285715,10,9,1,1,9,0,1,22.666666666666668,28.666666666666668,22.266666666666666,29.0
exam2016/ZEv_52_1.txt,1,4.333333333333333,9,2,1,0,9,151,4,16.77777777777778,11,10,1,0,6,2,1,13.875,18.875,12.884226190476191,17.461458333333333
exam2016/ZEv_8_1.txt,1,3.9,5,2,2,1,10,193,6.1,19.3,10,9,1,3,10,2,0,16.88888888888889,20.555555555555557,16.692151675485007,20.827557319223985
exam2017/ABl_11_1.txt,1,4.625,8,3,2,1,8,178,6.875,22.25,11,10,1,2,10,3,0,20.0,23.285714285714285,17.89591836734694,22.029931972789115
exam2017/ABl_13_1.txt,1,3.8,6,2,3,1,10,224,4.9,22.4,14,13,1,9,10,1,1,18.77777777777778,22.77777777777778,19.969400352733686,23.66384479717813
exam2017/ABl_1_1.txt,1,4.153846153846154,7,1,1,0,13,248,5.923076923076923,19.076923076923077,18,17,1,8,15,1,0,14.75,18.666666666666668,15.39065355940356,19.810906685906687
exam2017/ABl_22_1.txt,1,3.6923076923076925,6,2,0,3,13,254,5.076923076923077,19.53846153846154,23,19,4,12,11,0,1,16.75,19.583333333333332,17.023427729677728,19.87631373256373
exam2017/ABl_24_1.txt,1,3.75,5,3,2,1,12,210,3.5,17.5,13,13,0,6,10,1,0,14.636363636363637,19.09090909090909,14.021487603305784,18.727728584546767
exam2017/ABl_25_1.txt,1,4.222222222222222,7,3,4,2,9,181,4,20.11111111111111,10,8,2,3,7,3,0,15.125,20.25,16.192708333333332,21.589434523809523
